dataelement,period,orgunit,categoryoptioncombo,attributeoptioncombo,value,storedby,lastupdated,comment,followup,deleted
UqF107LDITO,202102,vFo5oNkc7Nn,zh2zAaHyYQx,HqSHzyweG3W,1,agiermach.hc,2021-03-04T10:24:03.317+0000,,false
wUDxFVBapIc,202102,vFo5oNkc7Nn,u3CkZqMHfHP,HqSHzyweG3W,5,agiermach.hc,2021-03-04T10:17:27.330+0000,,false
P2wDiYT9Ldr,202102,vFo5oNkc7Nn,u3CkZqMHfHP,HqSHzyweG3W,1,agiermach.hc,2021-03-04T10:25:43.394+0000,,false
BnXSeyr1Er2,202102,vFo5oNkc7Nn,u3CkZqMHfHP,HqSHzyweG3W,1,agiermach.hc,2021-03-04T10:27:37.777+0000,,false
JadBi8s2DMg,202102,vFo5oNkc7Nn,u3CkZqMHfHP,HqSHzyweG3W,1,agiermach.hc,2021-03-04T10:23:07.958+0000,,false
D9A0afrTYPw,202102,vFo5oNkc7Nn,u3CkZqMHfHP,HqSHzyweG3W,10,agiermach.hc,2021-03-04T10:16:05.645+0000,,false
eJ6uwSt5TEp,202102,vFo5oNkc7Nn,u3CkZqMHfHP,HqSHzyweG3W,15,agiermach.hc,2021-03-04T10:28:52.968+0000,,false
JhvC7ZR9hUe,202102,vFo5oNkc7Nn,u3CkZqMHfHP,HqSHzyweG3W,1,agiermach.hc,2021-03-04T10:15:09.790+0000,,false
QHnwKs2OUZv,202102,vFo5oNkc7Nn,u3CkZqMHfHP,HqSHzyweG3W,5,agiermach.hc,2021-03-04T10:18:16.190+0000,,false
Cd993CsXVlM,202102,vFo5oNkc7Nn,c7gvocRdg0f,HqSHzyweG3W,1,agiermach.hc,2021-03-04T10:19:03.233+0000,,false
wUDxFVBapIc,202102,vFo5oNkc7Nn,c7gvocRdg0f,HqSHzyweG3W,3,agiermach.hc,2021-03-04T10:17:19.866+0000,,false
JadBi8s2DMg,202102,vFo5oNkc7Nn,c7gvocRdg0f,HqSHzyweG3W,1,agiermach.hc,2021-03-04T10:23:07.718+0000,,false
D9A0afrTYPw,202102,vFo5oNkc7Nn,c7gvocRdg0f,HqSHzyweG3W,5,agiermach.hc,2021-03-04T10:16:05.474+0000,,false
eJ6uwSt5TEp,202102,vFo5oNkc7Nn,c7gvocRdg0f,HqSHzyweG3W,3,agiermach.hc,2021-03-04T10:28:52.928+0000,,false
QHnwKs2OUZv,202102,vFo5oNkc7Nn,c7gvocRdg0f,HqSHzyweG3W,3,agiermach.hc,2021-03-04T10:18:15.330+0000,,false
pWZcOnKaoCa,202102,vFo5oNkc7Nn,XVHTeecEOM3,HqSHzyweG3W,1,agiermach.hc,2021-03-04T10:27:56.456+0000,,false
wUDxFVBapIc,202102,vFo5oNkc7Nn,XVHTeecEOM3,HqSHzyweG3W,16,agiermach.hc,2021-03-04T10:17:41.144+0000,,false
FlRxDBHWGid,202102,vFo5oNkc7Nn,XVHTeecEOM3,HqSHzyweG3W,2,agiermach.hc,2021-03-04T10:27:19.225+0000,,false
MvVq34jGsmP,202102,vFo5oNkc7Nn,XVHTeecEOM3,HqSHzyweG3W,1,agiermach.hc,2021-03-04T10:24:48.182+0000,,false
LiSyn6bblsc,202102,vFo5oNkc7Nn,XVHTeecEOM3,HqSHzyweG3W,2,agiermach.hc,2021-03-04T10:20:18.167+0000,,false
JadBi8s2DMg,202102,vFo5oNkc7Nn,XVHTeecEOM3,HqSHzyweG3W,3,agiermach.hc,2021-03-04T10:23:35.409+0000,,false
D9A0afrTYPw,202102,vFo5oNkc7Nn,XVHTeecEOM3,HqSHzyweG3W,65,agiermach.hc,2021-03-04T10:16:42.672+0000,,false
sQ4EexvvhVe,202102,vFo5oNkc7Nn,XVHTeecEOM3,HqSHzyweG3W,3,agiermach.hc,2021-03-04T10:13:11.670+0000,,false
QTY3T2iXogb,202102,vFo5oNkc7Nn,XVHTeecEOM3,HqSHzyweG3W,5,agiermach.hc,2021-03-04T10:22:56.657+0000,,false
eJ6uwSt5TEp,202102,vFo5oNkc7Nn,XVHTeecEOM3,HqSHzyweG3W,43,agiermach.hc,2021-03-04T10:29:14.432+0000,,false
JhvC7ZR9hUe,202102,vFo5oNkc7Nn,XVHTeecEOM3,HqSHzyweG3W,3,agiermach.hc,2021-03-04T10:15:28.446+0000,,false
QHnwKs2OUZv,202102,vFo5oNkc7Nn,XVHTeecEOM3,HqSHzyweG3W,16,agiermach.hc,2021-03-04T10:18:41.880+0000,,false
wUDxFVBapIc,202102,vFo5oNkc7Nn,dCKzhhINakS,HqSHzyweG3W,7,agiermach.hc,2021-03-04T10:17:38.208+0000,,false
MIzh6JUSxX9,202102,vFo5oNkc7Nn,dCKzhhINakS,HqSHzyweG3W,2,agiermach.hc,2021-03-04T10:21:42.483+0000,,false
aU0n2RXwQJC,202102,vFo5oNkc7Nn,dCKzhhINakS,HqSHzyweG3W,2,agiermach.hc,2021-03-04T10:14:41.360+0000,,false
npIzs2n622e,202102,vFo5oNkc7Nn,dCKzhhINakS,HqSHzyweG3W,1,agiermach.hc,2021-03-04T10:26:49.281+0000,,false
LiSyn6bblsc,202102,vFo5oNkc7Nn,dCKzhhINakS,HqSHzyweG3W,1,agiermach.hc,2021-03-04T10:20:39.191+0000,,false
JadBi8s2DMg,202102,vFo5oNkc7Nn,dCKzhhINakS,HqSHzyweG3W,2,agiermach.hc,2021-03-04T10:23:08.485+0000,,false
D9A0afrTYPw,202102,vFo5oNkc7Nn,dCKzhhINakS,HqSHzyweG3W,21,agiermach.hc,2021-03-04T10:16:08.646+0000,,false
